country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0
Albania,89,132,54,4.83326
Algeria,25,0,14,0.68446
Andorra,245,138,312,12.21998
Angola,217,57,45,5.5945
Antigua and Barbuda,102,128,45,4.8316
Argentina,193,25,221,7.71594
Armenia,21,179,11,3.71194
Australia,261,72,212,9.57438
Austria,279,75,191,9.57174
Azerbaijan,21,46,5,1.2653
Bahamas,122,176,53,6.16752
Bahrain,42,63,7,1.96728
Bangladesh,0,0,0,0
Barbados,143,173,36,6.18234
Belarus,142,373,42,9.79068
Belgium,295,84,212,10.38058
Belize,263,114,8,6.75002
Benin,34,4,13,0.89472
Bhutan,23,0,0,0.4025
Bolivia (Plurinational State of),167,41,8,3.78522
Bosnia and Herzegovina,76,173,8,4.51592
Botswana,173,35,35,4.2609
Brazil,245,145,16,7.12174
Brunei Darussalam,31,2,1,0.59534
Bulgaria,231,252,94,10.13586
Burkina Faso,25,7,7,0.68418
Burundi,88,0,0,1.54
Cabo Verde,144,56,16,3.78784
Cambodia,57,65,1,2.15914
Cameroon,147,1,4,2.66066
Canada,240,122,100,8.1112
Central African Republic,17,2,1,0.35034
Chad,15,1,1,0.29774
Chile,130,124,172,7.49148
China,79,192,8,4.90282
Colombia,159,76,3,4.17302
Comoros,1,3,1,0.08794
Congo,76,1,9,1.50636
Cook Islands,0,254,74,5.77576
Costa Rica,149,87,11,4.33274
Côte d'Ivoire,37,1,7,0.78858
Croatia,230,87,254,10.03676
Cuba,93,137,5,4.1269
Cyprus,192,154,113,8.06372
Czech Republic,361,170,134,11.67326
Denmark,224,83,278,10.28472
Djibouti,15,44,3,1.08982
Dominica,52,286,26,6.40224
Dominican Republic,193,147,9,6.12346
Democratic Republic of the Congo,32,3,1,0.63044
Ecuador,162,74,3,4.19032
Egypt,6,4,1,0.19304
El Salvador,52,69,2,2.15968
Equatorial Guinea,92,0,233,5.72012
Eritrea,18,0,0,0.315
Estonia,224,194,59,8.37516
Ethiopia,20,3,0,0.4028
Fiji,77,35,1,1.98114
Finland,263,133,97,8.65438
France,127,151,370,11.4069
Gabon,347,98,59,8.83806
Gambia,8,0,1,0.15764
Georgia,52,100,149,5.29836
Germany,346,117,175,11.2012
Ghana,31,3,10,0.7717
Greece,133,112,218,8.14422
Grenada,199,438,28,11.68522
Guatemala,53,69,2,2.17718
Guinea,9,0,2,0.19278
Guinea_Bissau,28,31,21,1.40604
Guyana,93,302,1,6.96034
Haiti,1,326,1,5.77274
Honduras,69,98,2,2.96758
Hungary,234,215,185,11.1424
Iceland,233,61,78,6.52702
India,9,114,0,2.1639
Indonesia,5,1,0,0.1051
Iran (Islamic Republic of),0,0,0,0
Iraq,9,3,0,0.2103
Ireland,313,118,165,10.4649
Israel,63,69,9,2.47566
Italy,85,42,237,6.40738
Jamaica,82,97,9,3.30096
Japan,77,202,16,5.18494
Jordan,6,21,1,0.49224
Kazakhstan,124,246,12,6.71128
Kenya,58,22,2,1.43748
Kiribati,21,34,1,0.98354
Kuwait,0,0,0,0
Kyrgyzstan,31,97,6,2.35554
Lao People's Democratic Republic,62,0,123,3.25472
Latvia,281,216,62,9.81278
Lebanon,20,55,31,1.86484
Lesotho,82,29,0,1.9454
