,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
1,Afghanistan,171,0.465,60.4,9.3,3.2,"1,885",-7,171,0.6,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506,3227
2,Albania,85,0.733,77.8,11.8,9.3,"9,943",14,85,0.948,0.711,0.75,80.4,75.4,11.9,11.8,8.9,9.6,7217,12655
3,Algeria,83,0.736,74.8,14,7.6,"13,054",-1,83,0.837,0.637,0.761,77.2,72.5,14.2,13.8,4.8,7.8,3898,22009
4,Andorra,34,0.845,81.3,13.5,9.6,"43,978",-18,34,..,..,..,..,..,..,..,..,..,..,..
5,Angola,149,0.532,52.3,11.4,4.7,"6,822",-30,149,..,..,..,53.8,50.8,8.7,14,..,..,5497,8169
6,Antigua and Barbuda,58,0.783,76.1,14,9.2,"20,070",-1,58,..,..,..,78.5,73.5,14.6,13.3,..,..,..,..
7,Arab States,NA,0.686,70.6,12,6.4,"15,722",NA,NA,0.849,0.611,0.719,72.7,68.8,11.6,12.3,4.9,6.9,5686,24985
8,Argentina,40,0.836,76.3,17.9,9.8,"22,050",11,40,0.982,0.819,0.834,80.1,72.4,19.1,16.8,9.8,9.8,14202,30237
9,Armenia,85,0.733,74.7,12.3,10.9,"8,124",22,85,1.008,0.734,0.728,78.6,70.9,13.6,11.2,10.8,10.9,6042,10089
10,Australia,2,0.935,82.4,20.2,13,"42,261",17,2,0.976,0.922,0.945,84.5,80.3,20.7,19.7,13.1,12.9,33688,50914
11,Austria,23,0.885,81.4,15.7,10.8,"43,869",-5,23,0.943,0.856,0.909,83.8,78.8,16.1,15.4,9.9,11.9,29598,58826
12,Azerbaijan,78,0.751,70.8,11.9,11.2,"16,428",-11,78,0.942,0.721,0.766,74,67.7,11.8,12,10.5,11.2,10120,22814
13,Bahamas,55,0.79,75.4,12.6,10.9,"21,336",-3,55,..,..,..,78.3,72.3,..,..,11.1,10.7,17868,24957
14,Bahrain,45,0.824,76.6,14.4,9.4,"38,599",-20,45,0.94,0.789,0.839,77.6,75.8,15.1,13.7,9.1,9.6,20038,49890
15,Bangladesh,142,0.57,71.6,10,5.1,"3,191",5,142,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,2278,4083
16,Barbados,57,0.785,75.6,15.4,10.5,"12,488",27,57,1.018,0.791,0.777,78,73.2,17.2,13.8,10.6,10.2,10245,14739
17,Belarus,50,0.798,71.3,15.7,12,"16,676",14,50,1.021,0.806,0.789,77.2,65.5,16.2,15.1,11.9,12.1,12922,21010
18,Belgium,21,0.89,80.8,16.3,11.3,"41,187",0,21,0.975,0.872,0.895,83.2,78.3,16.7,16,10.6,11.1,31879,50845
19,Belize,101,0.715,70,13.6,10.5,"7,614",9,101,0.958,0.696,0.727,72.9,67.4,13.9,13.2,10.5,10.5,5034,10198
20,Benin,166,0.48,59.6,11.1,3.3,"1,767",0,166,0.823,0.431,0.524,61,58.1,9.4,12.7,2.1,4.6,1493,2043
21,Bhutan,132,0.605,69.5,12.6,3,"7,176",-17,132,0.897,0.572,0.638,69.7,69.2,12.8,12.6,2,4.1,5733,8418
22,Bolivia (Plurinational State of),119,0.662,68.3,13.2,8.2,"5,760",4,119,0.931,0.637,0.684,70.9,65.9,12.9,13.4,7.5,8.9,4383,7140
23,Bosnia and Herzegovina,85,0.733,76.5,13.6,8.3,"9,638",19,85,..,..,..,79,74,..,..,6.6,8.6,6514,12912
24,Botswana,106,0.698,64.5,12.5,8.9,"16,646",-41,106,0.982,0.691,0.704,66.8,62.1,12.6,12.4,8.7,9.1,15179,18096
25,Brazil,75,0.755,74.5,15.2,7.7,"15,175",-1,75,0.997,0.752,0.754,78.3,70.7,15.6,14.8,7.8,7.5,11393,19084
26,Brunei Darussalam,31,0.856,78.8,14.5,8.8,"72,570",-26,31,0.977,0.84,0.86,80.7,77,14.9,14.2,8.5,9,54228,90437
27,Bulgaria,59,0.782,74.2,14.4,10.6,"15,596",13,59,0.991,0.777,0.784,77.7,70.8,14.6,14.1,10.6,10.4,12448,18926
28,Burkina Faso,183,0.402,58.7,7.8,1.4,"1,591",-13,183,0.881,0.376,0.427,59.9,57.3,7.4,8.1,1,1.9,1325,1859
29,Burundi,184,0.4,56.7,10.1,2.7,758,1,184,0.911,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693,825
30,Côte d'Ivoire,172,0.462,51.5,8.9,4.3,"3,171",-24,172,0.81,0.41,0.507,52.4,50.7,7.9,10,3.2,5.3,2146,4157
31,Cabo Verde,122,0.646,73.3,13.5,4.7,"6,094",-1,122,..,..,..,75,71.4,13.9,13.1,..,..,4098,8105
32,Cambodia,143,0.555,68.4,10.9,4.4,"2,949",7,143,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526,3393
33,Cameroon,153,0.512,55.5,10.4,6,"2,803",-1,153,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266,3341
34,Canada,9,0.913,82,15.9,13,"42,155",11,9,0.982,0.904,0.921,84,80,16.3,15.5,13.1,13,33587,50853
35,Central African Republic,187,0.35,50.7,7.2,4.2,581,1,187,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476,689
36,Chad,185,0.392,51.6,7.4,1.9,"2,085",-22,185,0.768,0.338,0.44,52.7,50.5,5.9,8.9,1,2.9,1657,2513
37,Chile,42,0.832,81.7,15.2,9.8,"21,290",11,42,0.967,0.815,0.843,84.5,78.6,15.5,15,9.7,9.9,14732,27992
38,China,90,0.727,75.8,13.1,7.5,"12,547",-7,90,0.943,0.705,0.747,77.3,74.3,13.2,12.9,6.9,8.2,10128,14795
39,Colombia,97,0.72,74,13.5,7.3,"12,040",-9,97,0.997,0.719,0.721,77.7,70.5,13.9,13.2,7.4,7.3,9785,14372
40,Comoros,159,0.503,63.3,11.5,4.6,"1,456",16,159,0.813,0.443,0.545,65,61.6,11,11.9,3.7,5.6,778,2123
41,Congo,136,0.591,62.3,11.1,6.1,"6,012",-14,136,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165,6859
42,Congo (Democratic Republic of the),176,0.433,58.7,9.8,6,680,11,176,0.833,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597,765
43,Costa Rica,69,0.766,79.4,13.9,8.4,"13,413",10,69,0.974,0.753,0.774,81.9,77,14.3,13.4,8.4,8.3,9680,17033
44,Croatia,47,0.818,77.3,14.8,11,"19,409",11,47,0.987,0.812,0.823,80.6,74,15.4,14.2,10.5,11.6,16200,22853
45,Cuba,67,0.769,79.4,13.8,11.5,"7,301",47,67,0.954,0.747,0.783,81.5,77.4,14.4,13.3,11.4,11.6,4912,9665
46,Cyprus,32,0.85,80.2,14,11.6,"28,633",3,32,0.971,0.836,0.861,82.4,78,14.2,13.8,11.4,11.8,22613,34400
