"","Country.Name","CompulsoryEdu2015","SmokingMale2015","SmokingFemale2015","SmokingTotal2015","DeathCom2015","DeathNonCompulsory","LifeTotal2015"
"1","Albania",9,51.7,7.3,29.1,2.9,93.1,78.025
"2","Algeria",10,30.2,0.8,15.5,15.3,75,76.09
"3","Argentina",14,28.4,17,22.5,15.5,78.1,76.068
"4","Armenia",12,52.5,1.5,24.5,3.1,92.9,74.467
"5","Australia",10,17,13.5,15.2,4.4,89.6,82.4
"6","Austria",10,32.2,29,30.6,2.4,92.2,81.1902439
"7","Azerbaijan",10,43.5,0.3,21.3,9.1,86.2,72.266
"8","Bahamas",12,20.1,3.2,11.4,15.7,74.6,73.088
"9","Bahrain",9,36.9,5.9,26,7,82.9,76.762
"10","Bangladesh",5,45.1,1.1,23.2,27,65.4,71.514
"11","Barbados",11,14.4,2,7.8,12.9,82.8,78.801
"12","Belarus",9,47,10.6,27.2,2.3,90.8,73.62439024
"13","Belgium",12,32,25.4,28.6,7.8,85.9,80.99268293
"14","Benin",6,12.5,0.7,6.5,54.8,35.1,60.608
"15","Bosnia and Herzegovina",9,48.4,30.5,39.4,1.8,94.4,76.865
"16","Brazil",14,18.4,10.5,14.3,13.8,74,74.994
"17","Brunei Darussalam",9,30.9,2.1,16.9,8,84.4,75.318
"18","Bulgaria",11,45.4,30.6,37.7,2.3,95.2,74.61463415
"19","Burkina Faso",10,24.1,1.8,12.7,57.3,32,59.919
"20","Cabo Verde",10,16.7,2.3,9.3,19.8,69.8,72.117
"21","Canada",10,17.3,12.7,15,5.5,88.4,81.9
"22","Chile",12,42.5,35.1,38.7,7.5,85,79.646
"23","China",9,48.7,2,25.8,3.9,89,75.928
"24","Colombia",12,14.2,5,9.5,10.3,74.1,76.531
"25","Comoros",6,24,4.7,14.4,48.2,40.9,63.471
"26","Congo Rep.",10,47,1.7,24.2,57.4,33.3,63.097
"27","Costa Rica",13,17.7,6.5,12.1,6.5,83.1,79.565
"28","Croatia",8,40,33.7,36.7,2,92.8,77.27560976
"29","Cuba",9,54,17.8,35.9,8.3,83.8,78.561
"30","Cyprus",10,53.1,19.7,36.7,4.4,91.2,80.35
