"","Indicator.Name","Series.Code","Country.Name","Country.Code","AverageRain2014","ForestLand2014","AgriculturalLand2014","RuralLand2010","UrbanLand2010","PermCropLand2014","TotalLand2014","PopDensity2014","LifeTotal2014"
"1","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Afghanistan","AFG",327,13500,58.06757957,NA,NA,0.212909353,652860,51.11477805,62.966
"2","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Albania","ALB",1485,7724.60022,42.8573007,26686.71094,1689.403809,2.934306625,27400,105.4417518,77.813
"3","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Algeria","DZA",89,19484.00024,17.39526565,2285675.75,30195.79688,0.407181299,2381740,16.34254243,75.878
"4","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","American Samoa","ASM",NA,175.7999992,24.50000048,87.64226532,116.1668701,9.499999881,200,278.955,NA
"5","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Andorra","AND",NA,160,40.02127546,NA,NA,NA,470,168.5382979,NA
"6","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Angola","AGO",1010,579808.0078,47.47734018,1248198.625,1427.029541,0.232614101,1246700,21.61047485,58.776
"7","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Antigua and Barbuda","ATG",1030,98.00000191,20.45454545,167.8600616,266.2775574,2.272727273,440,210.3681818,76.349
"8","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Argentina","ARG",591,274088.0078,54.33571212,2690269.5,55032.20313,0.365404923,2736690,15.59164538,75.913
"9","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Armenia","ARM",562,3317.999878,59.03406924,NA,NA,2.012644863,28470,102.2972603,74.273
"10","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Aruba","ABW",NA,4.199999869,11.11111111,9.008321762,172.8477478,NA,180,576.5222222,75.583
"11","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Australia","AUS",534,1244430,52.88377179,7641564.5,36745.70313,0.045559273,7682300,3.055814795,82.3
"12","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Austria","AUT",1110,38671.99951,32.89022473,NA,NA,0.792506369,82522.99805,103.5633242,81.4902439
"13","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Azerbaijan","AZE",447,11131.80054,57.7005469,NA,NA,2.824722131,82662.99805,115.3488166,72.022
"14","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bahamas, The","BHS",1292,5150,1.398601399,12245.5166,425.8963623,0.3996004,10010,37.02627373,72.847
"15","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bahrain","BHR",83,5.899999738,11.15434572,115.1443634,549.2779541,3.891050661,770.9999847,1732.911837,76.624
"16","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bangladesh","BGD",2666,14315.99976,69.90089882,123889.625,11125.3916,6.376277176,130170,1187.064354,71.231
"17","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Barbados","BRB",1422,63.00000191,27.90697674,14.80739212,420.3754272,2.325581395,430,662.3837209,78.717
"18","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Belarus","BLR",618,86135.99609,42.4879174,198055.7813,7783.031738,0.580372752,202973.0078,46.67867468,72.97073171
"19","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Belgium","BEL",847,6829.60022,43.96631601,18091.89063,12349.22852,0.736459684,30280,370.180218,81.28780488
"20","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Belize","BLZ",1705,13713.19946,7.014467339,21296.04492,508.0564575,1.402893468,22810,15.49171416,73.782
"21","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Benin","BEN",1039,43610,33.25647393,113916.9609,1447.184937,4.434196524,112760,91.22775807,60.345
"22","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bermuda","BMU",NA,10,5.555555678,22.78402901,38.61519241,NA,54.00000095,1206.277756,80.79731707
"23","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bhutan","BTN",2200,27450.1001,13.7891225,NA,NA,0.325314158,38116.99951,18.86444393,70.046
"24","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bolivia","BOL",1146,550530,34.80291701,NA,NA,0.214160436,1083300,9.883242869,69.891
"25","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bosnia and Herzegovina","BIH",1028,21850,42.12890625,49338.41797,1723.146729,2.0703125,51200,68.00984375,76.723
"26","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Botswana","BWA",416,109422.002,45.87899,NA,NA,0.003529017,566730,3.685377517,66.265
"27","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Brazil","BRA",1761,4945220,33.9284817,8241430,134981.375,0.786299344,8358140,24.25943272,74.745
"28","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","British Virgin Islands","VGB",NA,36.19999886,46.66666667,106.7865906,51.4707756,6.666666667,150,193.26,NA
"29","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Brunei Darussalam","BRN",2722,3800,2.732447745,4743.62207,1017.068604,1.138519924,5270,77.75502846,75.193
"30","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Bulgaria","BGR",608,38058.00049,45.84561533,103838.0078,6678.94043,1.169859985,108560,66.54327561,74.46585366
"31","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Burkina Faso","BFA",748,54097.99805,44.2251462,NA,NA,0.365497076,273600,64.27637792,59.45
"32","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Burundi","BDI",1274,2713.999939,79.16666667,NA,NA,13.62928349,25680,383.3448988,59.665
"33","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Cabo Verde","CPV",228,889.4000244,19.60297767,3913.569092,180.3818817,0.992555831,4030,128.6027295,71.886
"34","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Cambodia","KHM",1904,95844.00391,30.90301382,176298.1875,1152.062866,0.878087469,176520,86.53128824,68.273
"35","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Cameroon","CMR",1604,190360,20.62575363,459153.1875,3680.405762,3.278965962,472710,47.98260667,57.083
"36","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Canada","CAN",537,3471155.938,6.888583005,9084045,126511.1641,0.52309832,9093510,3.897002917,81.8
"37","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Cayman Islands","CYM",NA,126.9999981,11.2500002,64.61621094,160.9671021,2.083333333,240,253.5333333,NA
"38","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Central African Republic","CAF",1343,221855.9961,8.154354875,NA,NA,0.128415037,622980,7.165839995,50.129
"39","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Chad","TCD",322,50016.00098,39.65613088,NA,NA,0.027795426,1259200,10.85098396,52.789
"40","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Channel Islands","CHI",NA,8.000000119,47.87878741,NA,NA,NA,197.9999924,828.7879107,82.252
"41","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Chile","CHL",1522,174341.9922,21.19774204,709418.75,12027.5166,0.614633911,743532.0313,23.88459172,79.504
"42","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","China","CHN",645,2067790.938,54.80841731,8868577,380679.3,1.706395348,9388211.25,145.3173521,75.629
"43","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Colombia","COL",3240,585284.6094,40.54723764,1090598.125,36132.13672,1.70712939,1109500,42.33367192,76.322
"44","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Comoros","COM",900,374.0000153,71.46695091,1478.78833,196.407196,28.47931126,1861.000061,408.0547959,63.214
"45","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Congo, Dem. Rep.","COD",1543,1528894.063,11.55686906,2278811.75,9061.722656,0.396991685,2267050,32.538959,58.828
"46","People using at least basic drinking water services (% of population)","SH.H2O.BASW.ZS","Congo, Rep.","COG",1646,223494.0039,31.11859444,338427.125,1087.161865,0.225475842,341500,13.87108053,62.582
