"","Indicator.Name","Series.Code","Surviveto65Female2014","Surviveto65Male2014","LifeFemale2014","LifeMale2014","LifeTotal2014","HealthPerCapita2014","HealthGDP2014","PopFemale2014","PopMale2014","PopTotal2014","RuralPOP2014","Sanitation2014","CO22014","Education2014","Water2014"
"1","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",65.603478,59.055479,64.453,61.563,62.966,60.11276091,9.52887835,16231996,17138798,33370794,75.413,39.37493209,9809.225,9,58.84123233
"2","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.0539388,83.5724912,80.045,75.734,77.813,313.2628968,6.91679461,1420670,1468434,2889104,43.577,97.67685495,5716.853,9,90.98120438
"3","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.0043894,81.0218336,77.085,74.713,75.878,357.8985662,6.54721401,19268759,19654928,38923687,29.779,87.33273411,145400.217,10,93.26727335
"4","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,55791,12.712,57.91369515,NA,NA,99.5417689
"5","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,4346.258747,10.27647843,NA,NA,79213,11.559,99.99999759,462.042,10,99.99999759
"6","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",61.1559604,48.6428906,61.591,56.14,58.776,131.7518748,2.79871941,13618288,13323491,26941779,37.269,46.11703098,34763.16,6,53.54150888
"7","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.3615944,79.4359286,77.566,75.071,76.349,749.6386484,5.79066573,48060,44502,92562,74.825,87.50428238,531.715,11,96.73918628
"8","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.4255164,75.8906124,79.281,72.46,75.913,1086.727284,8.23722377,21883730,20785770,42669500,8.623,94.2010483,204024.546,13,99.0002503
"9","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.7088912,71.6586354,77.446,70.797,74.273,406.5937491,10.17829917,1544503,1367900,2912403,36.888,92.63204075,5529.836,12,99.59326103
"10","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",87.4121492,79.562344,77.965,73.069,75.583,NA,NA,54407,49367,103774,56.959,97.54348112,872.746,13,97.86902338
"11","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",93.061008,88.6703728,84.4,80.3,82.3,5637.559721,9.05467885,11770519,11705167,23475686,14.398,99.99115238,361261.839,10,99.96148118
"12","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",92.2526476,85.6454,84,79.1,81.4902439,5386.424803,10.37068975,4367372,4178984,8546356,42.474,99.97858897,58712.337,10,100.0000028
"13","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.1898692,72.001374,74.823,69.199,72.022,440.3280774,5.56193369,4794145,4740934,9535079,45.578,90.91843657,37487.741,10,89.35028221
"14","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",81.3004162,70.397081,75.093,70.528,72.847,1687.735007,5.94798967,190819,179814,370633,17.332,94.58781011,2416.553,12,98.84419617
"15","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",88.4473678,85.7278838,77.696,75.807,76.624,1100.991473,4.40681854,513534,822541,1336075,11.085,100,31338.182,9,100
"16","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",77.9177998,72.5645002,72.955,69.759,71.231,28.834133,2.49601074,76150536,78369631,154520167,66.465,44.46270297,73189.653,5,96.75671305
"17","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",85.4809572,79.8306324,80.08,77.252,78.717,1177.76114,7.14459683,147656,137169,284825,68.672,95.85529392,1272.449,11,98.46444332
"18","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.3626174,62.7317334,78.4,67.8,72.97073171,447.7003537,5.38792165,5066924,4407587,9474511,23.307,97.75263762,63497.772,9,96.45478578
"19","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",91.1895084,85.2579868,83.9,78.8,81.28780488,4908.791855,10.34051179,5703536,5505521,11209057,2.167,99.48606403,93350.819,12,100.0000005
"20","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",80.7344288,69.9209092,76.537,71.274,73.782,273.8684396,5.65245816,176919,176447,353366,54.665,86.89304328,495.045,8,96.54229823
"21","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",62.3949988,56.5908546,61.799,58.853,60.345,34.40215717,3.64550634,5163934,5122908,10286842,54.834,15.67391628,6318.241,6,65.8044993
"22","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,84.69,77.09,80.79731707,NA,NA,NA,NA,65139,0,99.90314002,575.719,13,99.90314002
"23","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",68.8686488,69.5408616,70.272,69.809,70.046,82.32856853,3.46894211,340165,378891,719056,62.082,66.26135271,1001.091,NA,95.98522346
"24","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",74.5802338,65.8229498,72.655,67.271,69.891,180.4961378,5.77771607,5323698,5382819,10706517,31.953,55.04749222,20410.522,14,90.80893315
"25","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",89.0871,79.9790296,79.139,74.24,76.723,496.6091939,9.56130986,1774340,1707764,3482104,53.16,95.29053236,22233.021,9,96.16812795
"26","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",69.728998,57.8231522,68.89,63.474,66.265,397.5705924,5.30536553,1080795,1007819,2088614,33.632,73.21769109,7033.306,NA,87.46341808
"27","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",84.1804048,71.9436332,78.45,71.099,74.745,1301.101346,10.81982148,102907987,99855748,202763735,14.508,85.67658591,529808.16,14,97.2463708
"28","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",NA,NA,NA,NA,NA,NA,NA,NA,NA,28989,53.784,96.85797948,179.683,12,99.86438356
"29","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.9461258,77.6203714,76.416,74.048,75.193,795.0393734,1.91436808,196752,213017,409769,23.668,96.34904195,9108.828,9,99.90000909
"30","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",86.3344638,70.975794,78,71.1,74.46585366,666.4014104,8.51112283,3709343,3514595,7223938,26.349,85.97258001,42416.189,11,99.22936207
"31","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",59.7571958,55.6358278,60.03,58.739,59.45,39.55127795,5.6191598,8835392,8750625,17586017,73.066,18.50230088,2849.259,10,49.06718
"32","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",59.6756964,52.5693196,61.433,57.871,59.665,16.00598109,5.39602419,4971725,4872572,9844297,88.224,45.89550541,440.04,NA,58.96253932
"33","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",83.923536,69.3607448,75.236,68.319,71.886,186.6682257,5.28356233,258454,259815,518269,36.19,68.58636506,491.378,10,85.02775492
"34","Survival to age 65 female (% of cohort)","SP.DYN.TO65.FE.ZS",75.2623454,66.0891626,70.234,66.127,68.273,73.29931442,6.69680331,7825695,7448808,15274503,78.201,50.20439975,6684.941,NA,73.81615145
